Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
Beleuchung			1/-/-					Auto
	AUSSEN		1/0/-					Auto
		AUSSEN_Wandlampe_Terrasse_West EA	1/0/0					Auto
		AUSSEN_Wandlampe_Terrasse_West DIM_REL	1/0/1					Auto
		AUSSEN_Wandlampe_Terrasse_West DIM_ABS	1/0/2					Auto
		AUSSEN_Wandlampe_Terrasse_West TW_ABS	1/0/3					Auto
		AUSSEN_Wandlampe_Terrasse_West TW_REL	1/0/4					Auto
		AUSSEN_Wandlampe_Terrasse_West RGB_ABS	1/0/5					Auto
		AUSSEN_Wandlampe_Terrasse_West RM_EA	1/0/6					Auto
		AUSSEN_Wandlampe_Terrasse_West RM_DIM	1/0/7					Auto
		AUSSEN_Wandlampe_Terrasse_West RM_TWRGB	1/0/8					Auto
		AUSSEN_Wandlampe_Terrasse_West FEHLER	1/0/9					Auto
		AUSSEN_Wandlampen_Garage_Nord EA	1/0/10					Auto
		AUSSEN_Wandlampen_Garage_Nord DIM_REL	1/0/11					Auto
		AUSSEN_Wandlampen_Garage_Nord DIM_ABS	1/0/12					Auto
		AUSSEN_Wandlampen_Garage_Nord TW_ABS	1/0/13					Auto
		AUSSEN_Wandlampen_Garage_Nord TW_REL	1/0/14					Auto
		AUSSEN_Wandlampen_Garage_Nord RGB_ABS	1/0/15					Auto
		AUSSEN_Wandlampen_Garage_Nord RM_EA	1/0/16					Auto
		AUSSEN_Wandlampen_Garage_Nord RM_DIM	1/0/17					Auto
		AUSSEN_Wandlampen_Garage_Nord RM_TWRGB	1/0/18					Auto
		AUSSEN_Wandlampen_Garage_Nord FEHLER	1/0/19					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost EA	1/0/20					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost DIM_REL	1/0/21					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost DIM_ABS	1/0/22					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost TW_ABS	1/0/23					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost TW_REL	1/0/24					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost RGB_ABS	1/0/25					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost RM_EA	1/0/26					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost RM_DIM	1/0/27					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost RM_TWRGB	1/0/28					Auto
		AUSSEN_Wandlampen_Nebengebäude_Ost FEHLER	1/0/29					Auto
		AUSSEN_Wandlampen_Garageneinfahrt EA	1/0/30					Auto
		AUSSEN_Wandlampen_Garageneinfahrt DIM_REL	1/0/31					Auto
		AUSSEN_Wandlampen_Garageneinfahrt DIM_ABS	1/0/32					Auto
		AUSSEN_Wandlampen_Garageneinfahrt TW_ABS	1/0/33					Auto
		AUSSEN_Wandlampen_Garageneinfahrt TW_REL	1/0/34					Auto
		AUSSEN_Wandlampen_Garageneinfahrt RGB_ABS	1/0/35					Auto
		AUSSEN_Wandlampen_Garageneinfahrt RM_EA	1/0/36					Auto
		AUSSEN_Wandlampen_Garageneinfahrt RM_DIM	1/0/37					Auto
		AUSSEN_Wandlampen_Garageneinfahrt RM_TWRGB	1/0/38					Auto
		AUSSEN_Wandlampen_Garageneinfahrt FEHLER	1/0/39					Auto
		AUSSEN_Wandlampe_Garage_Süd EA	1/0/40					Auto
		AUSSEN_Wandlampe_Garage_Süd DIM_REL	1/0/41					Auto
		AUSSEN_Wandlampe_Garage_Süd DIM_ABS	1/0/42					Auto
		AUSSEN_Wandlampe_Garage_Süd TW_ABS	1/0/43					Auto
		AUSSEN_Wandlampe_Garage_Süd TW_REL	1/0/44					Auto
		AUSSEN_Wandlampe_Garage_Süd RGB_ABS	1/0/45					Auto
		AUSSEN_Wandlampe_Garage_Süd RM_EA	1/0/46					Auto
		AUSSEN_Wandlampe_Garage_Süd RM_DIM	1/0/47					Auto
		AUSSEN_Wandlampe_Garage_Süd RM_TWRGB	1/0/48					Auto
		AUSSEN_Wandlampe_Garage_Süd FEHLER	1/0/49					Auto
		AUSSEN_Wegleuchte_Eingang EA	1/0/50					Auto
		AUSSEN_Wegleuchte_Eingang DIM_REL	1/0/51					Auto
		AUSSEN_Wegleuchte_Eingang DIM_ABS	1/0/52					Auto
		AUSSEN_Wegleuchte_Eingang TW_ABS	1/0/53					Auto
		AUSSEN_Wegleuchte_Eingang TW_REL	1/0/54					Auto
		AUSSEN_Wegleuchte_Eingang RGB_ABS	1/0/55					Auto
		AUSSEN_Wegleuchte_Eingang RM_EA	1/0/56					Auto
		AUSSEN_Wegleuchte_Eingang RM_DIM	1/0/57					Auto
		AUSSEN_Wegleuchte_Eingang RM_TWRGB	1/0/58					Auto
		AUSSEN_Wegleuchte_Eingang FEHLER	1/0/59					Auto
		AUSSEN_Wegleuchte_Einfahrt EA	1/0/60					Auto
		AUSSEN_Wegleuchte_Einfahrt DIM_REL	1/0/61					Auto
		AUSSEN_Wegleuchte_Einfahrt DIM_ABS	1/0/62					Auto
		AUSSEN_Wegleuchte_Einfahrt TW_ABS	1/0/63					Auto
		AUSSEN_Wegleuchte_Einfahrt TW_REL	1/0/64					Auto
		AUSSEN_Wegleuchte_Einfahrt RGB_ABS	1/0/65					Auto
		AUSSEN_Wegleuchte_Einfahrt RM_EA	1/0/66					Auto
		AUSSEN_Wegleuchte_Einfahrt RM_DIM	1/0/67					Auto
		AUSSEN_Wegleuchte_Einfahrt RM_TWRGB	1/0/68					Auto
		AUSSEN_Wegleuchte_Einfahrt FEHLER	1/0/69					Auto
		AUSSEN_Wandlampen_Nordseite EA	1/0/70					Auto
		AUSSEN_Wandlampen_Nordseite DIM_REL	1/0/71					Auto
		AUSSEN_Wandlampen_Nordseite DIM_ABS	1/0/72					Auto
		AUSSEN_Wandlampen_Nordseite TW_ABS	1/0/73					Auto
		AUSSEN_Wandlampen_Nordseite TW_REL	1/0/74					Auto
		AUSSEN_Wandlampen_Nordseite RGB_ABS	1/0/75					Auto
		AUSSEN_Wandlampen_Nordseite RM_EA	1/0/76					Auto
		AUSSEN_Wandlampen_Nordseite RM_DIM	1/0/77					Auto
		AUSSEN_Wandlampen_Nordseite RM_TWRGB	1/0/78					Auto
		AUSSEN_Wandlampen_Nordseite FEHLER	1/0/79					Auto
		AUSSEN_Gartenlicht EA	1/0/80					Auto
		AUSSEN_Gartenlicht DIM_REL	1/0/81					Auto
		AUSSEN_Gartenlicht DIM_ABS	1/0/82					Auto
		AUSSEN_Gartenlicht TW_ABS	1/0/83					Auto
		AUSSEN_Gartenlicht TW_REL	1/0/84					Auto
		AUSSEN_Gartenlicht RGB_ABS	1/0/85					Auto
		AUSSEN_Gartenlicht RM_EA	1/0/86					Auto
		AUSSEN_Gartenlicht RM_DIM	1/0/87					Auto
		AUSSEN_Gartenlicht RM_TWRGB	1/0/88					Auto
		AUSSEN_Gartenlicht FEHLER	1/0/89					Auto
		AUSSEN_Garage_Deckenlicht EA	1/0/90					Auto
		AUSSEN_Garage_Deckenlicht DIM_REL	1/0/91					Auto
		AUSSEN_Garage_Deckenlicht DIM_ABS	1/0/92					Auto
		AUSSEN_Garage_Deckenlicht TW_ABS	1/0/93					Auto
		AUSSEN_Garage_Deckenlicht TW_REL	1/0/94					Auto
		AUSSEN_Garage_Deckenlicht RGB_ABS	1/0/95					Auto
		AUSSEN_Garage_Deckenlicht RM_EA	1/0/96					Auto
		AUSSEN_Garage_Deckenlicht RM_DIM	1/0/97					Auto
		AUSSEN_Garage_Deckenlicht RM_TWRGB	1/0/98					Auto
		AUSSEN_Garage_Deckenlicht FEHLER	1/0/99					Auto
		AUSSEN_Fahrrad_Deckenlicht EA	1/0/100					Auto
		AUSSEN_Fahrrad_Deckenlicht DIM_REL	1/0/101					Auto
		AUSSEN_Fahrrad_Deckenlicht DIM_ABS	1/0/102					Auto
		AUSSEN_Fahrrad_Deckenlicht TW_ABS	1/0/103					Auto
		AUSSEN_Fahrrad_Deckenlicht TW_REL	1/0/104					Auto
		AUSSEN_Fahrrad_Deckenlicht RGB_ABS	1/0/105					Auto
		AUSSEN_Fahrrad_Deckenlicht RM_EA	1/0/106					Auto
		AUSSEN_Fahrrad_Deckenlicht RM_DIM	1/0/107					Auto
		AUSSEN_Fahrrad_Deckenlicht RM_TWRGB	1/0/108					Auto
		AUSSEN_Fahrrad_Deckenlicht FEHLER	1/0/109					Auto
		AUSSEN_Schuppen_Deckenlicht EA	1/0/110					Auto
		AUSSEN_Schuppen_Deckenlicht DIM_REL	1/0/111					Auto
		AUSSEN_Schuppen_Deckenlicht DIM_ABS	1/0/112					Auto
		AUSSEN_Schuppen_Deckenlicht TW_ABS	1/0/113					Auto
		AUSSEN_Schuppen_Deckenlicht TW_REL	1/0/114					Auto
		AUSSEN_Schuppen_Deckenlicht RGB_ABS	1/0/115					Auto
		AUSSEN_Schuppen_Deckenlicht RM_EA	1/0/116					Auto
		AUSSEN_Schuppen_Deckenlicht RM_DIM	1/0/117					Auto
		AUSSEN_Schuppen_Deckenlicht RM_TWRGB	1/0/118					Auto
		AUSSEN_Schuppen_Deckenlicht FEHLER	1/0/119					Auto
	UG		1/1/-					Auto
		UG_Elektro_Deckenlicht EA	1/1/0					Auto
		UG_Elektro_Deckenlicht DIM_REL	1/1/1					Auto
		UG_Elektro_Deckenlicht DIM_ABS	1/1/2					Auto
		UG_Elektro_Deckenlicht TW_ABS	1/1/3					Auto
		UG_Elektro_Deckenlicht TW_REL	1/1/4					Auto
		UG_Elektro_Deckenlicht RGB_ABS	1/1/5					Auto
		UG_Elektro_Deckenlicht RM_EA	1/1/6					Auto
		UG_Elektro_Deckenlicht RM_DIM	1/1/7					Auto
		UG_Elektro_Deckenlicht RM_TWRGB	1/1/8					Auto
		UG_Elektro_Deckenlicht FEHLER	1/1/9					Auto
		UG_Elektro_Schreibtischlicht EA	1/1/10					Auto
		UG_Elektro_Schreibtischlicht DIM_REL	1/1/11					Auto
		UG_Elektro_Schreibtischlicht DIM_ABS	1/1/12					Auto
		UG_Elektro_Schreibtischlicht TW_ABS	1/1/13					Auto
		UG_Elektro_Schreibtischlicht TW_REL	1/1/14					Auto
		UG_Elektro_Schreibtischlicht RGB_ABS	1/1/15					Auto
		UG_Elektro_Schreibtischlicht RM_EA	1/1/16					Auto
		UG_Elektro_Schreibtischlicht RM_DIM	1/1/17					Auto
		UG_Elektro_Schreibtischlicht RM_TWRGB	1/1/18					Auto
		UG_Elektro_Schreibtischlicht FEHLER	1/1/19					Auto
		UG_Werkstatt_Deckenlicht EA	1/1/20					Auto
		UG_Werkstatt_Deckenlicht DIM_REL	1/1/21					Auto
		UG_Werkstatt_Deckenlicht DIM_ABS	1/1/22					Auto
		UG_Werkstatt_Deckenlicht TW_ABS	1/1/23					Auto
		UG_Werkstatt_Deckenlicht TW_REL	1/1/24					Auto
		UG_Werkstatt_Deckenlicht RGB_ABS	1/1/25					Auto
		UG_Werkstatt_Deckenlicht RM_EA	1/1/26					Auto
		UG_Werkstatt_Deckenlicht RM_DIM	1/1/27					Auto
		UG_Werkstatt_Deckenlicht RM_TWRGB	1/1/28					Auto
		UG_Werkstatt_Deckenlicht FEHLER	1/1/29					Auto
		UG_Lager_Deckenlicht EA	1/1/30					Auto
		UG_Lager_Deckenlicht DIM_REL	1/1/31					Auto
		UG_Lager_Deckenlicht DIM_ABS	1/1/32					Auto
		UG_Lager_Deckenlicht TW_ABS	1/1/33					Auto
		UG_Lager_Deckenlicht TW_REL	1/1/34					Auto
		UG_Lager_Deckenlicht RGB_ABS	1/1/35					Auto
		UG_Lager_Deckenlicht RM_EA	1/1/36					Auto
		UG_Lager_Deckenlicht RM_DIM	1/1/37					Auto
		UG_Lager_Deckenlicht RM_TWRGB	1/1/38					Auto
		UG_Lager_Deckenlicht FEHLER	1/1/39					Auto
		UG_Abstell_Deckenlicht EA	1/1/40					Auto
		UG_Abstell_Deckenlicht DIM_REL	1/1/41					Auto
		UG_Abstell_Deckenlicht DIM_ABS	1/1/42					Auto
		UG_Abstell_Deckenlicht TW_ABS	1/1/43					Auto
		UG_Abstell_Deckenlicht TW_REL	1/1/44					Auto
		UG_Abstell_Deckenlicht RGB_ABS	1/1/45					Auto
		UG_Abstell_Deckenlicht RM_EA	1/1/46					Auto
		UG_Abstell_Deckenlicht RM_DIM	1/1/47					Auto
		UG_Abstell_Deckenlicht RM_TWRGB	1/1/48					Auto
		UG_Abstell_Deckenlicht FEHLER	1/1/49					Auto
		UG_Hauswirtschaft_Deckenlicht EA	1/1/50					Auto
		UG_Hauswirtschaft_Deckenlicht DIM_REL	1/1/51					Auto
		UG_Hauswirtschaft_Deckenlicht DIM_ABS	1/1/52					Auto
