Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
Beleuchung_TW			2/-/-					Auto
	AUSSEN		2/0/-					Auto
	UG		2/1/-					Auto
		UG_Flur_Treppenbeleuchtung EA	2/1/0					Auto
		UG_Flur_Treppenbeleuchtung DIM_REL	2/1/1					Auto
		UG_Flur_Treppenbeleuchtung DIM_ABS	2/1/2					Auto
		UG_Flur_Treppenbeleuchtung TW_ABS	2/1/3					Auto
		UG_Flur_Treppenbeleuchtung TW_REL	2/1/4					Auto
		UG_Flur_Treppenbeleuchtung RGB_ABS	2/1/5					Auto
		UG_Flur_Treppenbeleuchtung RM_EA	2/1/6					Auto
		UG_Flur_Treppenbeleuchtung RM_DIM	2/1/7					Auto
		UG_Flur_Treppenbeleuchtung RM_TWRGB	2/1/8					Auto
		UG_Flur_Treppenbeleuchtung FEHLER	2/1/9					Auto
	EG		2/2/-					Auto
		EG_Eingang_Spots EA	2/2/0					Auto
		EG_Eingang_Spots DIM_REL	2/2/1					Auto
		EG_Eingang_Spots DIM_ABS	2/2/2					Auto
		EG_Eingang_Spots TW_ABS	2/2/3					Auto
		EG_Eingang_Spots TW_REL	2/2/4					Auto
		EG_Eingang_Spots RGB_ABS	2/2/5					Auto
		EG_Eingang_Spots RM_EA	2/2/6					Auto
		EG_Eingang_Spots RM_DIM	2/2/7					Auto
		EG_Eingang_Spots RM_TWRGB	2/2/8					Auto
		EG_Eingang_Spots FEHLER	2/2/9					Auto
		EG_Eingang_Spot_Treppe EA	2/2/10					Auto
		EG_Eingang_Spot_Treppe DIM_REL	2/2/11					Auto
		EG_Eingang_Spot_Treppe DIM_ABS	2/2/12					Auto
		EG_Eingang_Spot_Treppe TW_ABS	2/2/13					Auto
		EG_Eingang_Spot_Treppe TW_REL	2/2/14					Auto
		EG_Eingang_Spot_Treppe RGB_ABS	2/2/15					Auto
		EG_Eingang_Spot_Treppe RM_EA	2/2/16					Auto
		EG_Eingang_Spot_Treppe RM_DIM	2/2/17					Auto
		EG_Eingang_Spot_Treppe RM_TWRGB	2/2/18					Auto
		EG_Eingang_Spot_Treppe FEHLER	2/2/19					Auto
		EG_Garderobe_Spots EA	2/2/20					Auto
		EG_Garderobe_Spots DIM_REL	2/2/21					Auto
		EG_Garderobe_Spots DIM_ABS	2/2/22					Auto
		EG_Garderobe_Spots TW_ABS	2/2/23					Auto
		EG_Garderobe_Spots TW_REL	2/2/24					Auto
		EG_Garderobe_Spots RGB_ABS	2/2/25					Auto
		EG_Garderobe_Spots RM_EA	2/2/26					Auto
		EG_Garderobe_Spots RM_DIM	2/2/27					Auto
