Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
Beleuchung_RGB			3/-/-					Auto
	AUSSEN		3/0/-					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre EA	3/0/0					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre DIM_REL	3/0/1					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre DIM_ABS	3/0/2					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre TW_ABS	3/0/3					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre TW_REL	3/0/4					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre RGB_ABS	3/0/5					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre RM_EA	3/0/6					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre RM_DIM	3/0/7					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre RM_TWRGB	3/0/8					Auto
		AUSSEN_LED-Band_Ostbalkon_Haustüre FEHLER	3/0/9					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd EA	3/0/10					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd DIM_REL	3/0/11					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd DIM_ABS	3/0/12					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd TW_ABS	3/0/13					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd TW_REL	3/0/14					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd RGB_ABS	3/0/15					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd RM_EA	3/0/16					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd RM_DIM	3/0/17					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd RM_TWRGB	3/0/18					Auto
		AUSSEN_LED-Band_Ostbalkon_Süd FEHLER	3/0/19					Auto
		AUSSEN_LED-Band_Südbalkon_Ost EA	3/0/20					Auto
		AUSSEN_LED-Band_Südbalkon_Ost DIM_REL	3/0/21					Auto
		AUSSEN_LED-Band_Südbalkon_Ost DIM_ABS	3/0/22					Auto
		AUSSEN_LED-Band_Südbalkon_Ost TW_ABS	3/0/23					Auto
		AUSSEN_LED-Band_Südbalkon_Ost TW_REL	3/0/24					Auto
		AUSSEN_LED-Band_Südbalkon_Ost RGB_ABS	3/0/25					Auto
		AUSSEN_LED-Band_Südbalkon_Ost RM_EA	3/0/26					Auto
		AUSSEN_LED-Band_Südbalkon_Ost RM_DIM	3/0/27					Auto
		AUSSEN_LED-Band_Südbalkon_Ost RM_TWRGB	3/0/28					Auto
		AUSSEN_LED-Band_Südbalkon_Ost FEHLER	3/0/29					Auto
