Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
Präsenz			5/-/-					Auto
	AUSSEN		5/0/-					Auto
		AUSSEN_Präsenzmelder_Garage TASTERKURZ	5/0/0					Auto
		AUSSEN_Präsenzmelder_Garage TASTERLANG	5/0/1					Auto
		AUSSEN_Präsenzmelder_Garage EXTBEWEGUNG	5/0/2					Auto
		AUSSEN_Präsenzmelder_Garage STATUSAKTOR	5/0/3					Auto
		AUSSEN_Präsenzmelder_Garage SPERRE	5/0/4					Auto
		AUSSEN_Präsenzmelder_Garage ZWANGSFÜHRUNG	5/0/5					Auto
		AUSSEN_Präsenzmelder_Garage STATUSAUTOMATIK	5/0/6					Auto
		AUSSEN_Präsenzmelder_Garage NURIMDUNKELNAKTIV	5/0/7					Auto
		AUSSEN_Präsenzmelder_Garage NACHLAUFZEIT	5/0/8					Auto
		AUSSEN_Präsenzmelder_Garage LEDROT	5/0/9					Auto
		AUSSEN_Präsenzmelder_Garage RAUMHELLIGKEIT	5/0/10					Auto
		AUSSEN_Präsenzmelder_Garage HELLIGKEITSSCHWELLWERT	5/0/11					Auto
		AUSSEN_Präsenzmelder_Garage START_KALIBRIERUNG	5/0/12					Auto
		AUSSEN_Präsenzmelder_Garage DIMMWERT	5/0/13					Auto
		AUSSEN_Präsenz_Fahrrad TASTERKURZ	5/0/20					Auto
		AUSSEN_Präsenz_Fahrrad TASTERLANG	5/0/21					Auto
		AUSSEN_Präsenz_Fahrrad EXTBEWEGUNG	5/0/22					Auto
		AUSSEN_Präsenz_Fahrrad STATUSAKTOR	5/0/23					Auto
		AUSSEN_Präsenz_Fahrrad SPERRE	5/0/24					Auto
		AUSSEN_Präsenz_Fahrrad ZWANGSFÜHRUNG	5/0/25					Auto
		AUSSEN_Präsenz_Fahrrad STATUSAUTOMATIK	5/0/26					Auto
		AUSSEN_Präsenz_Fahrrad NURIMDUNKELNAKTIV	5/0/27					Auto
		AUSSEN_Präsenz_Fahrrad NACHLAUFZEIT	5/0/28					Auto
		AUSSEN_Präsenz_Fahrrad LEDROT	5/0/29					Auto
		AUSSEN_Präsenz_Fahrrad RAUMHELLIGKEIT	5/0/30					Auto
		AUSSEN_Präsenz_Fahrrad HELLIGKEITSSCHWELLWERT	5/0/31					Auto
		AUSSEN_Präsenz_Fahrrad START_KALIBRIERUNG	5/0/32					Auto
		AUSSEN_Präsenz_Fahrrad DIMMWERT	5/0/33					Auto
		AUSSEN_Präsenz_Schuppen TASTERKURZ	5/0/40					Auto
		AUSSEN_Präsenz_Schuppen TASTERLANG	5/0/41					Auto
		AUSSEN_Präsenz_Schuppen EXTBEWEGUNG	5/0/42					Auto
		AUSSEN_Präsenz_Schuppen STATUSAKTOR	5/0/43					Auto
		AUSSEN_Präsenz_Schuppen SPERRE	5/0/44					Auto
		AUSSEN_Präsenz_Schuppen ZWANGSFÜHRUNG	5/0/45					Auto
		AUSSEN_Präsenz_Schuppen STATUSAUTOMATIK	5/0/46					Auto
		AUSSEN_Präsenz_Schuppen NURIMDUNKELNAKTIV	5/0/47					Auto
		AUSSEN_Präsenz_Schuppen NACHLAUFZEIT	5/0/48					Auto
		AUSSEN_Präsenz_Schuppen LEDROT	5/0/49					Auto
		AUSSEN_Präsenz_Schuppen RAUMHELLIGKEIT	5/0/50					Auto
