Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
Jalousien			6/-/-					Auto
	AUSSEN		6/0/-					Auto
		AUSSEN_Markise Süd-Ost AUF/AB	6/0/0					Auto
		AUSSEN_Markise Süd-Ost LAMELLEN	6/0/1					Auto
		AUSSEN_Markise Süd-Ost ABS_POS	6/0/2					Auto
		AUSSEN_Markise Süd-Ost ABS_LAMELLEN	6/0/3					Auto
		AUSSEN_Markise Süd-Ost FAHRZEITMESSUNG	6/0/4					Auto
		AUSSEN_Markise Süd-Ost DIAGNOSETEXT	6/0/5					Auto
		AUSSEN_Markise Süd-Ost RM_POSHÖHE	6/0/6					Auto
		AUSSEN_Markise Süd-Ost RM_POSLAMELLEN	6/0/7					Auto
		AUSSEN_Markise Süd-West AUF/AB	6/0/10					Auto
		AUSSEN_Markise Süd-West LAMELLEN	6/0/11					Auto
		AUSSEN_Markise Süd-West ABS_POS	6/0/12					Auto
		AUSSEN_Markise Süd-West ABS_LAMELLEN	6/0/13					Auto
		AUSSEN_Markise Süd-West FAHRZEITMESSUNG	6/0/14					Auto
		AUSSEN_Markise Süd-West DIAGNOSETEXT	6/0/15					Auto
		AUSSEN_Markise Süd-West RM_POSHÖHE	6/0/16					Auto
		AUSSEN_Markise Süd-West RM_POSLAMELLEN	6/0/17					Auto
	UG		6/1/-					Auto
	EG		6/2/-					Auto
		EG_Eingang_Jalousie AUF/AB	6/2/0					Auto
		EG_Eingang_Jalousie LAMELLEN	6/2/1					Auto
		EG_Eingang_Jalousie ABS_POS	6/2/2					Auto
		EG_Eingang_Jalousie ABS_LAMELLEN	6/2/3					Auto
		EG_Eingang_Jalousie FAHRZEITMESSUNG	6/2/4					Auto
		EG_Eingang_Jalousie DIAGNOSETEXT	6/2/5					Auto
		EG_Eingang_Jalousie RM_POSHÖHE	6/2/6					Auto
		EG_Eingang_Jalousie RM_POSLAMELLEN	6/2/7					Auto
		EG_Küche_Jalousie_Ost AUF/AB	6/2/10					Auto
		EG_Küche_Jalousie_Ost LAMELLEN	6/2/11					Auto
		EG_Küche_Jalousie_Ost ABS_POS	6/2/12					Auto
		EG_Küche_Jalousie_Ost ABS_LAMELLEN	6/2/13					Auto
		EG_Küche_Jalousie_Ost FAHRZEITMESSUNG	6/2/14					Auto
		EG_Küche_Jalousie_Ost DIAGNOSETEXT	6/2/15					Auto
		EG_Küche_Jalousie_Ost RM_POSHÖHE	6/2/16					Auto
		EG_Küche_Jalousie_Ost RM_POSLAMELLEN	6/2/17					Auto
		EG_Küche_Jalousie_Südost AUF/AB	6/2/20					Auto
		EG_Küche_Jalousie_Südost LAMELLEN	6/2/21					Auto
